date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:45:43	47753/47753	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202024%2014:27:36%20GMT	https://demos.creative-tim.com/material-dashboard/pages/tables.html	/Users/apple/websites/Dashboard/demos.creative-tim.com/material-dashboard/pages/tables.html	(from )
16:45:44	2481/2481	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Nov%202024%2013:45:44%20GMT	https://demos.creative-tim.com/robots.txt		(from )
16:45:44	373/373	---M--	200	added ('OK')	image/png	etag:%226717b658-329%22	https://demos.creative-tim.com/material-dashboard/assets/img/apple-icon.png	/Users/apple/websites/Dashboard/demos.creative-tim.com/material-dashboard/assets/img/apple-icon.png	(from https://demos.creative-tim.com/material-dashboard/pages/tables.html)
16:45:45	373/373	---M--	200	added ('OK')	image/png	etag:%226717b658-329%22	https://demos.creative-tim.com/material-dashboard/assets/img/favicon.png	/Users/apple/websites/Dashboard/demos.creative-tim.com/material-dashboard/assets/img/favicon.png	(from https://demos.creative-tim.com/material-dashboard/pages/tables.html)
16:45:47	120479/120479	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202024%2013:45:47%20GMT	https://www.creative-tim.com/product/material-dashboard	/Users/apple/websites/Dashboard/www.creative-tim.com/product/material-dashboard.html	(from https://demos.creative-tim.com/material-dashboard/pages/tables.html)
16:45:48	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Wed,%2013%20Nov%202024%2013:45:48%20GMT	https://s3.amazonaws.com/creativetim_bucket/products/450/original/material-dashboard.jpg	/Users/apple/websites/Dashboard/s3.amazonaws.com/creativetim_bucket/products/450/original/material-dashboard.4.delayed	(from https://demos.creative-tim.com/material-dashboard/pages/tables.html)
16:45:49	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2013%20Nov%202024%2013:45:48%20GMT	http://demos.creative-tim.com/material-dashboard/pages/dashboard.html	/Users/apple/websites/Dashboard/demos.creative-tim.com/material-dashboard/pages/dashboard.5.delayed	(from https://demos.creative-tim.com/material-dashboard/pages/tables.html)
16:45:50	56212/56212	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202024%2014:27:36%20GMT	https://demos.creative-tim.com/material-dashboard/pages/dashboard.html	/Users/apple/websites/Dashboard/demos.creative-tim.com/material-dashboard/pages/dashboard.html	(from https://demos.creative-tim.com/material-dashboard/pages/tables.html)
16:45:51	1260/1260	---MC-	200	added ('OK')	text/css	date:Wed,%2013%20Nov%202024%2013:45:50%20GMT	https://fonts.googleapis.com/css?family=Inter:300,400,500,600,700,900	/Users/apple/websites/Dashboard/fonts.googleapis.com/css3c34.css	(from https://demos.creative-tim.com/material-dashboard/pages/tables.html)
16:45:52	6612/6612	---MCZ	200	added ('OK')	text/css	etag:W/%226717b658-2337%22	https://demos.creative-tim.com/material-dashboard/assets/css/nucleo-icons.css	/Users/apple/websites/Dashboard/demos.creative-tim.com/material-dashboard/assets/css/nucleo-icons.css	(from https://demos.creative-tim.com/material-dashboard/pages/tables.html)
